Year_Index,CFADS_v1_NAD_000,CFADS_v2_NAD_000,Debt_Service_NAD_000,Closing_Balance,Total_Assets_NAD_000,DSCR_v1,DSCR_v2,ICR,LTV_Proxy,LLCR_v1,LLCR_v2,PLCR_v1,PLCR_v2
1,-11896.555555555557,-11896.555555555557,65000.0,0.0,20568.68055555555,-0.09144358974358975,-0.09144358974358975,,0.0,,,,
2,-8830.944444444443,-8830.944444444443,130000.0,0.0,15272.749999999995,-0.06793034188034186,-0.06793034188034186,,0.0,,,,
3,-8883.63888888889,-8883.63888888889,130000.0,0.0,6547.673611111106,-0.06833568376068376,-0.06833568376068376,,0.0,,,,
4,-9159.638888888889,-9159.638888888889,0.0,0.0,-2482.256944444449,,,,0.0,,,,
5,-9228.055555555557,-9228.055555555557,0.0,0.0,-11797.69444444445,,,,0.0,,,,
