Month_Index,Total_Revenue_NAD_000,Fixed_OPEX_NAD_000,Variable_OPEX_NAD_000,Total_OPEX_NAD_000,Depreciation_NAD_000,EBIT_NAD_000,Interest_Expense_NAD_000,Tax_Expense_NAD_000,NPAT_NAD_000,EBITDA_NAD_000,Total_Revenue_USD_000,Fixed_OPEX_USD_000,Variable_OPEX_USD_000,Total_OPEX_USD_000,Depreciation_USD_000,EBIT_USD_000,Interest_Expense_USD_000,Tax_Expense_USD_000,NPAT_USD_000,EBITDA_USD_000
1,0.0,363.75,665.3333333333334,1029.0833333333335,0.0,-1029.0833333333335,0.0,0.0,-1029.0833333333335,-1029.0833333333335,0.0,19.66216216216216,35.96396396396396,55.62612612612613,0.0,-55.62612612612613,0.0,0.0,-55.62612612612613,-55.62612612612613
2,0.0,363.75,665.3333333333334,1029.0833333333335,0.0,-1029.0833333333335,0.0,0.0,-1029.0833333333335,-1029.0833333333335,0.0,19.640928725701944,35.92512598992081,55.56605471562276,0.0,-55.56605471562276,0.0,0.0,-55.56605471562276,-55.56605471562276
3,0.0,363.75,665.3333333333334,1029.0833333333335,0.0,-1029.0833333333335,0.0,0.0,-1029.0833333333335,-1029.0833333333335,0.0,19.619741100323626,35.88637180870191,55.50611290902554,0.0,-55.50611290902554,0.0,0.0,-55.50611290902554,-55.50611290902554
4,0.0,363.75,665.3333333333334,1029.0833333333335,0.0,-1029.0833333333335,0.0,0.0,-1029.0833333333335,-1029.0833333333335,0.0,19.598599137931036,35.84770114942529,55.44630028735634,0.0,-55.44630028735634,0.0,0.0,-55.44630028735634,-55.44630028735634
5,0.0,363.75,665.3333333333334,1029.0833333333335,10.0,-1039.0833333333335,0.0,0.0,-1039.0833333333335,-1029.0833333333335,0.0,19.577502691065664,35.80911374237532,55.38661643344099,0.5382131324004307,-55.92482956584142,0.0,0.0,-55.92482956584142,-55.38661643344099
6,0.0,363.75,665.3333333333334,1029.0833333333335,22.77777777777778,-1051.8611111111113,0.0,0.0,-1051.8611111111113,-1029.0833333333335,0.0,19.556451612903224,35.770609318996414,55.327060931899645,1.2246117084826762,-56.55167264038232,0.0,0.0,-56.55167264038232,-55.327060931899645
7,0.0,363.75,665.3333333333334,1029.0833333333335,69.65277777777777,-1098.7361111111113,0.0,0.0,-1098.7361111111113,-1029.0833333333335,0.0,19.53544575725027,35.73218761188686,55.26763336913714,3.7407506862394073,-59.008384055376546,0.0,0.0,-59.008384055376546,-55.26763336913714
8,0.0,363.75,665.3333333333334,1029.0833333333335,82.81944444444444,-1111.9027777777778,0.0,0.0,-1111.9027777777778,-1029.0833333333335,0.0,19.51448497854077,35.693848354792564,55.20833333333334,4.443103242727706,-59.65143657606104,0.0,0.0,-59.65143657606104,-55.20833333333334
9,0.0,363.75,665.3333333333334,1029.0833333333335,82.81944444444444,-1111.9027777777778,0.0,0.0,-1111.9027777777778,-1029.0833333333335,0.0,19.493569131832796,35.65559128260093,55.14916041443374,4.438341074193164,-59.58750148862689,0.0,0.0,-59.58750148862689,-55.14916041443374
10,0.0,363.75,665.3333333333334,1029.0833333333335,82.81944444444444,-1111.9027777777778,0.0,0.0,-1111.9027777777778,-1029.0833333333335,0.0,19.47269807280514,35.617416131334764,55.09011420413991,4.433589103021651,-59.523703307161554,0.0,0.0,-59.523703307161554,-55.09011420413991
