Option,Instrument,Ticket_USD,Valuation_Cap_NAD,Discount_pct,RevShare_preRefi_pct,Min_IRR_Floor_pct,Conversion_Terms,Exit_Refi_Multiple
A_SAFE,SAFE,500000,30000000,20,0,0,"Cap/Discount at refi",1
B_Convertible,Convertible Note,500000,32000000,15,0,0,"8% PIK; convert at refi",1
C_Pref_RevShare,Preferred Equity,500000,,,2.5,15,"8% pref; buys down at refi",1
D_RevShareOnly,Revenue Share,500000,,,3,16,"Buy-out multiple at refi",1.1
